id_asegurado,nombre,cedula,segmento,antigueedad,ciudad,numero_de_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado
ASEG-100124,José Ángel Natanael Naranjo Bueno,0202586202,Eándar,7,Machala,2,2,No,75
ASEG-100125,Nicodemo del Gomila,0230532343,VIP,14,Machala,1,1,Sí,75
ASEG-100126,Candelario Amat,1149715508,Premium,12,Machala,3,3,No,59
ASEG-100127,Donato Talavera Beltran,1713619722,VIP,9,Azogues,4,2,No,51
ASEG-100128,Herminia Ferreras Plana,1151438866,Corporativo,5,Machala,2,0,No,60
ASEG-100129,Gloria Hervás Coloma,2156816098,Eándar,4,Azogues,1,3,No,76
ASEG-100130,Victoriano Campillo Rodríguez,1452564873,Premium,9,Cuenca,2,2,No,83
ASEG-100131,Chus del Ayllón,1114556861,VIP,10,Zamora,4,1,Sí,67
ASEG-100132,Diana de Sastre,1019977642,Corporativo,6,Azogues,3,2,Sí,86
ASEG-100133,Salvador Sobrino Molins,1338982273,VIP,15,Azogues,4,2,No,63
ASEG-100134,María José Vargas Roldan,1829616521,Premium,11,Cuenca,2,0,Sí,76
ASEG-100135,Itziar de Taboada,2331705943,Corporativo,8,Machala,2,2,No,68
ASEG-100136,Dora Huertas Lluch,0355579913,Premium,15,Loja,1,3,No,61
ASEG-100137,Julieta Haro,0202693461,Corporativo,15,Machala,2,3,No,62
ASEG-100138,Isidro Berenguer-Macias,1117670321,Premium,3,Loja,4,3,No,55
ASEG-100139,Elías del Montenegro,2201132228,VIP,6,Zamora,3,0,No,91
ASEG-100140,Anita de Contreras,2310134586,VIP,12,Machala,1,2,No,89
ASEG-100141,Gregorio de Gargallo,0814493797,Premium,13,Cuenca,2,0,No,83
ASEG-100142,Hipólito Ramón Muro,0341892511,Corporativo,2,Machala,2,3,Sí,82
ASEG-100143,Josefa del Barrios,0231455635,Eándar,7,Zamora,3,0,Sí,87
ASEG-100144,Sigfrido Rivera,0233099092,Eándar,5,Loja,4,1,Sí,91
ASEG-100145,Yolanda Aller Pintor,1234930988,Premium,11,Zamora,3,0,Sí,84
ASEG-100146,Adelaida Ortiz Martín,1717200263,Corporativo,9,Zamora,4,1,Sí,79
ASEG-100147,Tamara Rius Giménez,0521870667,Eándar,4,Machala,2,0,Sí,88
ASEG-100148,Constanza Llamas Ruano,1546820455,Eándar,3,Loja,3,1,No,86
ASEG-100149,Albina Porcel Navarrete,2222895423,Premium,11,Azogues,4,3,Sí,72
ASEG-100150,Paloma Dalmau Solsona,1726421520,Premium,5,Zamora,2,3,Sí,85
ASEG-100151,María Amores Prada,1445323049,VIP,2,Zamora,2,0,No,74
ASEG-100152,Marcela Amores-Blanes,2008177541,VIP,5,Azogues,1,1,Sí,57
ASEG-100153,Bernarda Serrano Espada,0856295738,VIP,5,Zamora,3,2,No,79
ASEG-100154,Eladio Pinilla Morán,2437323088,Premium,1,Loja,3,3,No,59
ASEG-100155,Javi Morillo,1113846628,Corporativo,12,Cuenca,4,3,Sí,72
ASEG-100156,Pía Pinilla Lobo,0555189950,Eándar,14,Cuenca,1,0,No,58
ASEG-100157,Dolores Bilbao Sosa,0351240692,Corporativo,11,Cuenca,4,0,Sí,84
ASEG-100158,Reinaldo Azorin Olmo,1400752562,Corporativo,13,Azogues,2,0,Sí,83
ASEG-100159,Moreno de Arjona,0816237093,Corporativo,10,Cuenca,2,1,No,93
ASEG-100160,Duilio Flores Almagro,2157035003,Premium,2,Loja,4,3,No,86
ASEG-100161,Calista Dafne Cases Sáenz,1702965292,VIP,15,Loja,1,1,No,51
ASEG-100162,Lope Gibert Sola,1917730127,Corporativo,11,Cuenca,3,3,Sí,94
ASEG-100163,Rodolfo Peinado-Diez,1759048372,Corporativo,13,Loja,3,0,No,78
ASEG-100164,María Dolores Piedad Carbó Céspedes,0825315377,VIP,13,Zamora,2,0,Sí,67
ASEG-100165,Baltasar Luis Miguel Amigó Mesa,1357133097,Corporativo,6,Cuenca,3,0,Sí,55
ASEG-100166,Nicolasa Perez-Puente,1435510555,VIP,14,Cuenca,4,0,No,76
ASEG-100167,Anselmo Herrero,0359995131,Premium,5,Zamora,3,2,No,59
ASEG-100168,Pablo Mata Carrillo,0632273975,Corporativo,10,Loja,2,3,Sí,58
ASEG-100169,Ricarda Armengol-Olivera,0133683383,Premium,5,Machala,3,1,No,70
ASEG-100170,Inés del Bayón,1322645233,Corporativo,6,Cuenca,1,1,Sí,93
ASEG-100171,Miriam Nogueira,0154742688,Corporativo,11,Azogues,4,1,No,65
ASEG-100172,Teobaldo Rivera Trillo,2217709449,Corporativo,9,Machala,1,2,Sí,56
ASEG-100173,Inocencio Paredes Segura,2253609636,VIP,13,Cuenca,4,0,Sí,56
ASEG-100174,Isaac Echeverría Vélez,0847562345,Premium,6,Machala,1,3,Sí,68
ASEG-100175,Mario Tomás-Sola,0308733757,VIP,8,Zamora,1,3,No,70
ASEG-100176,Sara Ledesma Mora,1008186619,Premium,9,Loja,2,1,No,85
ASEG-100177,Severo de Lorenzo,1517616379,Premium,8,Zamora,4,3,Sí,95
ASEG-100178,Daniela Sobrino Pinilla,0727801813,VIP,4,Cuenca,4,0,No,92
ASEG-100179,Albina Urrutia Morcillo,1753331345,Premium,14,Zamora,3,0,Sí,70
ASEG-100180,Jose Francisco Garay Pacheco,0821313558,Corporativo,3,Loja,4,1,Sí,81
ASEG-100181,Francisco Losa-Llorente,0513403014,Corporativo,9,Machala,4,3,No,76
ASEG-100182,Adelina de Boada,1610072256,Premium,13,Zamora,4,3,Sí,86
ASEG-100183,Plácido del Torres,0948380753,Corporativo,2,Loja,2,2,Sí,78
ASEG-100184,Purificación de Tamayo,1204972853,VIP,14,Machala,4,1,Sí,63
ASEG-100185,Jacinta Alemany Buendía,0243253721,VIP,14,Cuenca,1,1,No,53
ASEG-100186,Dan Hermenegildo Hervia Medina,2117113288,Corporativo,8,Machala,2,2,No,74
ASEG-100187,Flor Sáenz-Núñez,0357747682,Corporativo,8,Zamora,3,0,Sí,79
ASEG-100188,Petrona Muro Ortiz,0343984324,Premium,10,Machala,4,2,Sí,52
ASEG-100189,Elba Medina Iglesias,2130914944,Premium,15,Loja,3,1,No,55
ASEG-100190,Benito de Moles,0903913366,Premium,7,Machala,1,0,Sí,63
ASEG-100191,Ramiro Esteve Feliu,0315540310,Corporativo,12,Zamora,2,3,Sí,64
ASEG-100192,Rafael Tomé,0358132389,Premium,11,Zamora,2,0,Sí,89
ASEG-100193,Porfirio Zamorano-Luna,1527614687,Eándar,15,Cuenca,1,1,Sí,87
ASEG-100194,Sigfrido Ferrera Marti,1233120565,VIP,13,Zamora,1,2,Sí,83
ASEG-100195,Geraldo de Mate,1717208944,Eándar,4,Azogues,4,0,Sí,73
ASEG-100196,Paulino Castañeda Lledó,0538536798,Eándar,1,Machala,1,0,No,63
ASEG-100197,Amando Manzano Cases,0235654704,Premium,5,Loja,1,2,Sí,82
ASEG-100198,Aroa Alberola Luís,0543576631,Corporativo,12,Cuenca,2,0,Sí,55
ASEG-100199,Julia Saez Niño,0436066104,Premium,12,Zamora,1,1,No,72
ASEG-100200,Amancio Iriarte Tejedor,1752378719,Eándar,6,Azogues,4,2,Sí,66
ASEG-100201,Segismundo Bas Pérez,2104508110,Eándar,15,Azogues,1,1,Sí,52
ASEG-100202,Angelina Baeza Cordero,0804319853,Corporativo,4,Loja,3,1,No,70
ASEG-100203,Santiago Mateu Blázquez,0343591897,Corporativo,2,Machala,4,2,No,70
ASEG-100204,Benigno del Gonzalez,1830253645,Corporativo,13,Loja,2,1,Sí,50
ASEG-100205,Fortunata Sanjuan,0115660375,Corporativo,14,Zamora,3,0,Sí,83
ASEG-100206,Emma Romeu Mayoral,1439912021,Corporativo,12,Cuenca,3,3,Sí,87
ASEG-100207,María Teresa Barrena-Cabezas,1716350614,VIP,5,Loja,3,3,No,70
ASEG-100208,Matías Galván,0910275114,Corporativo,6,Zamora,4,0,No,63
ASEG-100209,Natalio Bertrán-Crespo,1032116863,Eándar,4,Zamora,3,1,Sí,95
ASEG-100210,Chema de Crespi,1235629043,Corporativo,9,Cuenca,2,0,No,56
ASEG-100211,Hernando Sanjuan Soriano,0400721460,Eándar,10,Cuenca,3,0,Sí,54
ASEG-100212,Alcides David Maldonado Luna,2138088196,Eándar,3,Cuenca,4,3,No,51
ASEG-100213,Andrea Guillen Lamas,2231212800,Premium,11,Zamora,3,3,No,85
ASEG-100214,Nadia Figuerola-Rodríguez,0202118568,Eándar,7,Zamora,3,3,No,72
ASEG-100215,Lalo Gomila Company,1723132872,Eándar,13,Azogues,4,2,Sí,60
ASEG-100216,Severiano Cisneros-Bellido,0852577790,Corporativo,6,Loja,2,1,Sí,87
ASEG-100217,Celestino Meléndez Malo,2453573517,Premium,14,Machala,4,2,Sí,81
ASEG-100218,Beatriz Solís Mateu,0302250923,Premium,6,Loja,2,2,Sí,51
ASEG-100219,Elena Vall Uribe,1959788934,Corporativo,10,Cuenca,1,2,No,70
ASEG-100220,Anita Ariño Rosales,0659796197,VIP,4,Cuenca,2,3,No,94
ASEG-100221,María Del Carmen Ibáñez Amigó,0517993994,Eándar,3,Machala,3,1,Sí,81
ASEG-100222,Darío Almansa Leon,1150336988,VIP,8,Cuenca,1,2,Sí,65
ASEG-100223,Almudena Díez-Sosa,1227704416,Corporativo,8,Loja,4,2,No,56
ASEG-100224,Modesta Salamanca,1957247008,VIP,2,Zamora,1,2,Sí,74
ASEG-100225,Cipriano Ruano-Téllez,2405805645,Eándar,7,Cuenca,2,3,Sí,53
ASEG-100226,Joel Oliveras Real,1119459566,VIP,4,Loja,1,0,No,86
ASEG-100227,Estrella Calvo Cuevas,1610008649,Eándar,1,Azogues,2,1,No,55
ASEG-100228,Guiomar Valbuena Maldonado,0427482633,VIP,15,Zamora,4,2,Sí,78
ASEG-100229,Ruth Arco Sanz,0934220765,Eándar,11,Loja,3,3,Sí,85
ASEG-100230,Fausto Iniesta Morales,1344584840,Eándar,7,Loja,1,1,Sí,78
ASEG-100231,Rolando Quintero Vilar,0618149496,Premium,14,Cuenca,3,2,Sí,55
ASEG-100232,Nando Sevilla Reyes,1835859073,Corporativo,2,Zamora,4,1,Sí,86
ASEG-100233,Ciríaco Villegas Pardo,1909512533,Corporativo,5,Azogues,4,3,No,52
ASEG-100234,Prudencia Leticia Salamanca Aznar,0931660831,Premium,1,Cuenca,4,2,No,51
ASEG-100235,Eliseo Castro,1022460818,Corporativo,13,Machala,3,2,No,88
ASEG-100236,Isidoro Valerio Tormo Carrión,0732877881,Premium,2,Loja,3,3,Sí,83
ASEG-100237,Maxi Heras Cuadrado,0111882494,Premium,5,Azogues,3,3,No,90
ASEG-100238,Leoncio Adrián Raya Buendía,2202449456,VIP,3,Loja,3,0,No,51
ASEG-100239,Sosimo de Serrano,0218722221,Corporativo,9,Zamora,1,0,No,58
ASEG-100240,Moisés Correa Valentín,2002697726,Corporativo,14,Cuenca,3,3,No,63
ASEG-100241,José Manuel Patricio Llano Ribes,1055650996,VIP,9,Zamora,3,2,Sí,80
ASEG-100242,Jovita Hervás Saura,1126827821,Premium,9,Loja,2,0,No,92
ASEG-100243,Blanca del Farré,2217692439,Eándar,10,Machala,2,2,Sí,93
ASEG-100244,Liliana Piedad Cerezo Baños,2139658880,Premium,5,Azogues,1,3,Sí,66
ASEG-100245,Rolando Ribera-Nieto,0658622840,VIP,6,Azogues,3,2,No,57
ASEG-100246,Débora Acedo,0255908584,Corporativo,9,Zamora,3,3,Sí,59
ASEG-100247,Primitivo Eustaquio Tovar Comas,0724594379,Eándar,8,Cuenca,3,1,No,90
ASEG-100248,Lupita Tomé Ochoa,0132717471,Eándar,3,Loja,4,3,No,77
ASEG-100249,Mamen Pi Sarabia,1300130380,Premium,1,Zamora,1,1,Sí,94
ASEG-100250,Tomasa Fabregat Haro,1011530092,Corporativo,12,Machala,3,3,Sí,71
ASEG-100251,Fátima Guillen-Reig,1211980295,Premium,12,Zamora,1,1,Sí,73
ASEG-100252,Federico Suárez Piquer,1352509663,Eándar,1,Loja,1,3,No,74
ASEG-100253,Narcisa Cornejo Valbuena,1824166365,VIP,10,Loja,2,3,Sí,82
ASEG-100254,Bernardino Vallés Mármol,0421111253,Premium,6,Azogues,4,2,Sí,52
ASEG-100255,Ulises Sacristán Cabo,1616420012,Corporativo,3,Azogues,1,0,Sí,66
ASEG-100256,Zaida Saura,1522088838,VIP,7,Cuenca,1,0,Sí,50
ASEG-100257,Poncio Cobos Redondo,2251346801,VIP,3,Cuenca,1,3,No,79
ASEG-100258,Anselmo Soria Landa,1358767166,Eándar,14,Machala,2,0,No,87
ASEG-100259,Matilde Puga Bernat,1954676886,Premium,8,Zamora,4,0,No,78
ASEG-100260,Tamara Pinto Moliner,0326085776,Premium,11,Loja,3,0,No,92
ASEG-100261,Trini Araujo Bayona,1626618860,Eándar,11,Cuenca,2,3,No,60
ASEG-100262,Maximiano del Gordillo,1622902649,Premium,2,Loja,4,3,No,55
ASEG-100263,Isaac Cabello Cabrera,1521461457,Eándar,14,Zamora,1,2,Sí,91
ASEG-100264,Carina Marí Andres,1128883756,VIP,12,Zamora,4,0,Sí,92
ASEG-100265,Fermín Barba Marcos,0123675316,Premium,8,Cuenca,2,3,Sí,66
ASEG-100266,Florentina Rosa Coello,0711828137,Corporativo,1,Azogues,1,3,No,92
ASEG-100267,Juan Manuel del Escolano,1719075457,Premium,12,Azogues,2,1,Sí,74
ASEG-100268,Chucho Bermúdez Piñeiro,2025399722,VIP,5,Azogues,4,1,Sí,76
ASEG-100269,Nilda Dalila Valenciano Clemente,2355853751,Premium,4,Azogues,2,2,No,93
ASEG-100270,Jerónimo del Segura,2359156771,Corporativo,10,Cuenca,4,2,No,50
ASEG-100271,Nazario Agustí-Sola,0403002793,VIP,3,Azogues,1,2,Sí,84
ASEG-100272,Nilo Leandro Cruz Benavent,1231878750,Premium,9,Loja,3,0,No,74
ASEG-100273,Fabiola Martínez Rodrigo,2229072885,Corporativo,14,Zamora,2,2,Sí,62
ASEG-100274,Javier Matas-Flor,1519097107,VIP,9,Machala,3,1,Sí,87
ASEG-100275,Tamara Tomas Campillo,0124909573,VIP,8,Machala,3,0,No,83
ASEG-100276,Graciano del Marqués,0640545026,Premium,11,Cuenca,3,2,No,68
ASEG-100277,Aitor Severino Priego Llobet,2044576136,Premium,15,Cuenca,2,0,No,74
ASEG-100278,Lorenzo Avilés Valdés,1325298386,Corporativo,8,Loja,1,2,Sí,70
ASEG-100279,Román Salomón Grau Ortuño,0301950069,Premium,14,Azogues,4,0,Sí,84
ASEG-100280,Maximino de Iglesia,2107143006,VIP,9,Zamora,1,1,No,76
ASEG-100281,Mauricio Caballero Ariza,1554331072,Eándar,13,Zamora,1,0,No,82
ASEG-100282,Rufino Isidro Aragonés Patiño,1053074363,Corporativo,3,Loja,2,1,No,84
ASEG-100283,Artemio Marquez Morillo,2112898693,Eándar,9,Machala,2,0,Sí,50
ASEG-100284,Carmelita Font Catalán,2035937933,Corporativo,15,Azogues,2,1,Sí,64
ASEG-100285,Valentina del Valls,0911650794,Corporativo,11,Azogues,1,2,Sí,66
ASEG-100286,Severo Córdoba-Jimenez,0755936226,Eándar,15,Loja,2,2,No,78
ASEG-100287,Rosenda Marquez Nevado,2053553349,Eándar,6,Machala,2,1,No,67
ASEG-100288,Joaquín Benet Chico,0557843356,Premium,11,Machala,1,2,Sí,84
ASEG-100289,Tito del Paz,0958000507,Corporativo,13,Cuenca,2,0,No,84
ASEG-100290,Ruperto Prat Alcalá,1657327720,Corporativo,9,Azogues,1,3,No,82
ASEG-100291,Julio Casals-Sanz,2218861546,Premium,10,Loja,2,3,No,52
ASEG-100292,Nerea Juárez Piquer,1610302935,Corporativo,15,Cuenca,4,0,Sí,91
ASEG-100293,Asunción Guillen Soto,0459627550,Corporativo,11,Machala,4,2,Sí,83
ASEG-100294,Martín Mosquera Giralt,1315384469,Premium,8,Machala,2,1,Sí,82
ASEG-100295,Maximino Simó Matas,0711371286,Eándar,8,Machala,4,3,Sí,87
ASEG-100296,Azahar Chaves Arrieta,2130051606,Premium,1,Cuenca,2,2,Sí,83
ASEG-100297,Evaristo Ugarte Carmona,2046878928,Corporativo,14,Zamora,4,1,Sí,76
